Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,39.349998,39.349998,39.349998,39.349998,39.349998,16244
2020-09-02,38.599998,38.599998,38.599998,38.599998,38.599998,18265
2020-09-03,37.849998,37.849998,37.849998,37.849998,37.849998,19632
2020-09-04,37.099998,37.099998,37.099998,37.099998,37.099998,20493
2020-09-07,36.400002,36.400002,36.400002,36.400002,36.400002,35707
2020-09-08,35.700001,35.700001,35.700001,35.700001,35.700001,30848
2020-09-09,35,35,35,35,35,18345
2020-09-10,34.299999,34.299999,34.299999,34.299999,34.299999,29473
2020-09-11,33.650002,33.650002,33.650002,33.650002,33.650002,45318
2020-09-14,33,34.299999,33,34.299999,34.299999,724338
2020-09-15,34.950001,34.950001,33.650002,33.650002,33.650002,465068
2020-09-16,33,33,33,33,33,44185
2020-09-17,32.349998,32.349998,32.349998,32.349998,32.349998,23492
2020-09-18,31.75,31.75,31.75,31.75,31.75,60238
2020-09-21,31.15,31.15,31.15,31.15,31.15,13995
2020-09-22,30.549999,30.549999,30.549999,30.549999,30.549999,9375
2020-09-23,29.950001,29.950001,29.950001,29.950001,29.950001,40738
2020-09-24,29.4,29.4,29.4,29.4,29.4,83294
2020-09-25,28.85,28.85,28.85,28.85,28.85,53619
2020-09-28,28.299999,29.4,28.299999,28.299999,28.299999,396607
2020-09-29,27.75,27.75,27.75,27.75,27.75,17965
2020-09-30,27.200001,27.200001,27.200001,27.200001,27.200001,11788
2020-10-01,26.700001,26.700001,26.700001,26.700001,26.700001,7948
2020-10-05,26.200001,26.200001,26.200001,26.200001,26.200001,19582
2020-10-06,25.700001,25.700001,25.700001,25.700001,25.700001,34003
2020-10-07,25.200001,25.200001,25.200001,25.200001,25.200001,20316
2020-10-08,24.700001,24.700001,24.700001,24.700001,24.700001,13857
2020-10-09,24.25,24.25,24.25,24.25,24.25,19702
2020-10-12,23.799999,23.799999,23.799999,23.799999,23.799999,16512
2020-10-13,23.35,23.35,23.35,23.35,23.35,11255
2020-10-14,22.9,22.9,22.9,22.9,22.9,18548
2020-10-15,22.450001,22.450001,22.450001,22.450001,22.450001,24782
2020-10-16,22.049999,22.049999,22.049999,22.049999,22.049999,16456
2020-10-19,21.65,21.65,21.65,21.65,21.65,24626
2020-10-20,21.25,22.049999,21.25,21.35,21.35,247468
2020-10-21,21.75,21.75,21.75,21.75,21.75,64386
2020-10-22,22.15,22.15,22.15,22.15,22.15,21276
2020-10-23,22.549999,22.549999,22.549999,22.549999,22.549999,27854
2020-10-26,23,23,23,23,23,8610
2020-10-27,23.450001,23.450001,23.450001,23.450001,23.450001,22489
2020-10-28,23.9,23.9,23,23.9,23.9,402504
2020-10-29,24.35,24.35,24.35,24.35,24.35,63179
2020-10-30,24.799999,24.799999,24.799999,24.799999,24.799999,8264
2020-11-02,25.25,25.25,25.25,25.25,25.25,14472
2020-11-03,25.75,25.75,25.75,25.75,25.75,88238
2020-11-04,26.25,26.25,26.25,26.25,26.25,6265
2020-11-05,26.75,26.75,26.75,26.75,26.75,33919
2020-11-06,27.25,27.25,27.25,27.25,27.25,13919
2020-11-09,27.75,27.75,27.75,27.75,27.75,7123
2020-11-10,28.299999,28.299999,28.299999,28.299999,28.299999,16145
2020-11-11,28.85,28.85,28.85,28.85,28.85,9736
2020-11-12,29.4,29.4,29.4,29.4,29.4,12443
2020-11-13,29.950001,29.950001,29.950001,29.950001,29.950001,121738
2020-11-17,28.85,29.950001,28.85,29.950001,29.950001,263277
2020-11-18,30.5,30.5,30.5,30.5,30.5,40918
2020-11-19,31.1,31.1,31.1,31.1,31.1,33315
2020-11-20,31.700001,31.700001,31.700001,31.700001,31.700001,48300
2020-11-23,32.299999,32.299999,32.299999,32.299999,32.299999,30775
2020-11-24,32.900002,32.900002,32.900002,32.900002,32.900002,28805
2020-11-25,33.549999,33.549999,33.549999,33.549999,33.549999,34867
